nama,rating,gp,point_per_game,rebound_per_game,assist_per_game
Aaron Holiday,4.80,21,8.0,1.0,1.0
Patrick Williams,4.74,28,6.7,3.0,1.2
Daniel Gafford,4.73,20,7.7,5.8,1.1
Kris Murray,4.64,28,5.9,4.0,1.0
Cole Anthony,4.60,26,6.8,2.6,3.8
Ziaire Williams,4.57,25,8.7,2.5,0.7
Khris Middleton,4.53,18,10.5,3.9,3.4
Spencer Jones,4.46,25,5.0,2.2,0.9
Tre Johnson,4.45,21,11.5,3.2,1.4
Vince Williams Jr.,4.44,22,7.4,4.2,4.9
Ryan Nembhard,4.36,18,8.3,1.9,5.6
Tyler Kolek,4.35,25,4.8,1.8,2.6
Jarace Walker,4.34,30,9.0,4.7,1.9
Landry Shamet,4.31,15,9.3,2.0,1.2
Jaylen Clark,4.24,27,4.3,2.0,0.6
Pat Spencer,4.22,21,7.0,2.3,3.0
Gary Payton II,4.11,28,3.9,3.1,1.7
Trendon Watford,4.11,14,8.9,4.7,3.6
Walter Clayton Jr.,4.10,25,6.3,2.0,3.2
Ja'Kobe Walter,4.09,28,5.4,2.0,0.8
Branden Carlson,4.07,20,5.0,2.2,0.7
Nae'Qwan Tomlin,4.06,22,6.6,3.0,0.6
Corey Kispert,3.98,18,8.9,2.4,1.8
Bones Hyland,3.97,21,6.1,1.3,2.1
Yves Missi,3.95,23,5.3,5.2,1.1
Derrick Jones Jr.,3.94,13,10.5,2.4,1.1
Tyus Jones,3.93,30,3.2,1.0,2.3
Bryce McGowens,3.92,19,8.1,2.3,1.5
Jordan Poole,3.85,12,17.0,1.7,3.3
Jabari Walker,3.80,27,4.5,3.6,0.6
Tyler Herro,3.78,6,23.2,5.0,2.3
Hugo Gonzalez,3.77,24,4.3,3.1,0.5
Cam Whitmore,3.73,21,9.2,2.8,0.7
Keaton Wallace,3.72,27,4.1,1.4,2.6
Jared McCain,3.72,19,7.6,2.5,2.1
Trae Young,3.69,8,19.3,1.6,9.1
Nikola Jovic,3.69,19,7.2,3.5,2.6
Adem Bona,3.68,20,3.8,3.7,0.1
Kevin Love,3.66,18,6.9,5.1,1.7
Justin Edwards,3.63,25,5.4,1.8,1.4
Tristan Vukcevic,3.57,24,7.0,2.6,0.9
Jarred Vanderbilt,3.54,19,4.6,5.6,1.3
Trayce Jackson-Davis,3.52,20,4.3,3.7,1.1
Tidjane Salaun,3.48,17,6.6,3.6,0.9
Caleb Love,3.44,22,7.9,2.4,2.0
Jaden Ivey,3.44,15,8.0,2.2,1.6
Drew Eubanks,3.43,25,5.3,2.8,0.3
Dalton Knecht,3.39,23,5.7,1.9,0.5
Drake Powell,3.33,19,6.0,1.8,1.9
Jamaree Bouyea,3.32,13,7.5,1.7,1.7
Jeremy Sochan,3.29,19,5.5,3.4,1.3
John Konchar,3.24,22,3.0,2.7,1.2
Nicolas Batum,3.23,28,4.5,2.7,0.7
Aaron Nesmith,3.22,11,15.5,4.5,1.5
Thomas Bryant,3.20,24,4.8,2.7,0.4
Ben Sheppard,3.14,22,6.5,4.1,2.0
Jonathan Isaac,3.12,26,3.0,3.1,0.1
Kobe Sanders,3.04,21,6.5,1.9,1.3
Taylor Hendricks,3.03,18,6.3,3.4,0.6
Walker Kessler,3.03,5,14.4,10.8,3.0
Asa Newell,2.98,21,5.4,1.9,0.5
Karlo Matkovic,2.93,21,4.6,3.3,0.9
Brook Lopez,2.92,22,6.0,2.2,0.7
Kelly Olynyk,2.90,17,4.2,2.4,1.5
Tre Mann,2.82,21,8.8,2.9,2.6
Noah Penda,2.79,17,4.5,4.1,1.2
Keon Ellis,2.74,28,4.9,1.4,0.7
Cam Thomas,2.72,8,21.4,1.4,2.6
Jericho Sims,2.71,24,3.4,4.1,0.8
Bilal Coulibaly,2.68,14,8.8,4.1,2.7
Baylor Scheierman,2.66,25,2.9,1.7,0.7
Dwight Powell,2.63,22,2.8,2.5,0.9
Nick Richards,2.63,24,3.4,3.3,0.3
Nique Clifford,2.60,26,5.0,2.7,1.3
Tony Bradley,2.59,24,4.5,2.5,0.6
Ousmane Dieng,2.57,17,4.4,1.8,0.9
Jett Howard,2.56,21,5.3,1.4,0.9
Sidy Cissoko,2.55,25,5.8,2.2,1.4
Zach Collins,2.53,8,9.0,5.1,1.5
Micah Peavy,2.53,25,4.8,2.4,1.0
Tyrese Proctor,2.47,23,5.2,1.4,1.4
Kenrich Williams,2.47,10,6.3,2.7,1.8
Danny Wolf,2.44,14,7.7,4.0,1.8
Jamison Battle,2.41,21,3.9,1.5,0.4
Guerschon Yabusele,2.40,26,3.0,2.2,0.4
Terrence Shannon Jr.,2.39,21,4.8,1.3,0.7
Al Horford,2.37,13,5.6,4.4,2.0
Will Riley,2.37,22,4.5,1.6,1.0
Bogdan Bogdanovic,2.32,15,8.5,3.1,2.9
Ochai Agbaji,2.28,23,4.1,2.3,0.8
Quenton Jackson,2.27,10,8.3,2.7,2.2
Nick Smith Jr.,2.21,12,7.6,1.2,1.3
Olivier-Maxence Prosper,2.21,18,4.7,2.1,0.8
Rob Dillingham,2.14,25,3.7,1.3,2.0
Jalen Pickett,2.08,15,3.4,1.7,1.8
Liam McNeeley,2.06,20,4.8,2.3,0.8
Gui Santos,2.05,23,3.3,2.0,0.7
Jaden Hardy,2.05,23,5.9,1.3,0.6
